# s ZZ error
0.100 0.019293995823 0.000002090797
0.110 0.022313008946 0.000002344938
0.120 0.024804583820 0.000002548314
0.130 0.026743754729 0.000002654585
0.140 0.028212484517 0.000002631700
0.150 0.029376798067 0.000002559246
0.160 0.030451604995 0.000002473984
0.170 0.031661034122 0.000002365161
0.180 0.033199861058 0.000002326840
0.190 0.035204434184 0.000002371355
0.200 0.037736930510 0.000002446903
0.210 0.040782210698 0.000002607783
0.220 0.044258488511 0.000002856789
0.230 0.048038109876 0.000003148444
0.240 0.051971442364 0.000003519605
0.250 0.055913064968 0.000003900918
0.260 0.059744896603 0.000004168829
0.270 0.063390380931 0.000004272705
0.280 0.066821870795 0.000004204147
0.290 0.070059946224 0.000004090723
0.300 0.073165281459 0.000003988360
0.310 0.076226148083 0.000003837535
0.320 0.079342999155 0.000003646913
0.330 0.082613731203 0.000003472412
0.340 0.086121846050 0.000003307159
0.350 0.089927970399 0.000003313098
0.360 0.094066370040 0.000003405242
0.370 0.098546353387 0.000003614310
0.380 0.103356478043 0.000003842729
0.390 0.108471678271 0.000004061176
0.400 0.113860684769 0.000004279450
0.410 0.119495095123 0.000004469288
0.420 0.125355219228 0.000004641811
0.430 0.131433877977 0.000004758610
0.440 0.137738451924 0.000004902021
0.450 0.144293479581 0.000004942815
0.460 0.151134402533 0.000005017272
0.470 0.158305521047 0.000005192221
0.480 0.165854608666 0.000005524379
0.490 0.173832507867 0.000006261730
0.500 0.182287847789 0.000007130116
0.510 0.191262286951 0.000006945941
0.520 0.200792822319 0.000007004904
0.530 0.210908475408 0.000007020654
0.540 0.221631613558 0.000007828322
0.550 0.232980229207 0.000008690826
0.560 0.244972724828 0.000009498869
0.570 0.257622902288 0.000010837152
0.580 0.270947275336 0.000012839402
0.590 0.284954636453 0.000015421069
0.600 0.299660210958 0.000019829446
0.610 0.315068576445 0.000026362763
0.620 0.331179000760 0.000030779315
0.630 0.347966396550 0.000037739587
0.640 0.365431030641 0.000040031416
0.650 0.383525144398 0.000046960327
0.660 0.402187067528 0.000048040443
0.670 0.421338231921 0.000058800378
0.680 0.440872321366 0.000059185140
0.690 0.460644391967 0.000070144302
0.700 0.480437859053 0.000078912299
0.710 0.500106211936 0.000095111843
0.720 0.519386018600 0.000106666726
0.730 0.538028583584 0.000111815156
0.740 0.555789929344 0.000120761600
0.750 0.572395560431 0.000115520177
0.760 0.587607461332 0.000118980923
0.770 0.601362113967 0.000148222645
0.780 0.613313360474 0.000172128386
0.790 0.623433727564 0.000216088217
0.800 0.631766569610 0.000232839504
0.810 0.638300305026 0.000270980753
0.820 0.643267923440 0.000352339123
0.830 0.646825180434 0.000498530214
0.840 0.649254117546 0.000675067996
0.850 0.650958677226 0.000868175649
0.860 0.652443723079 0.001046861058
0.870 0.653830238711 0.001215861107
0.880 0.655420200583 0.001376211014
0.890 0.657126961295 0.001518044141
0.900 0.659238096300 0.001639109405
0.910 0.661817303698 0.001725644011
0.920 0.664671238090 0.001809024566
0.930 0.667303594007 0.001804623859
0.940 0.669754062295 0.001774863682
0.950 0.671870569622 0.001715272550
0.960 0.673765337267 0.001613277757
0.970 0.675650067512 0.001534160551
0.980 0.676768208107 0.001465143898
0.990 0.677195095152 0.001420634201
1.000 0.677378167859 0.001406911210
