# s ZZ error
0.100 0.009031170937 0.000000000026
0.110 0.011810255612 0.000000000023
0.120 0.014921541352 0.000000000023
0.130 0.018311395413 0.000000000041
0.140 0.021918051459 0.000000001071
0.150 0.025674869871 0.000000002900
0.160 0.029513570101 0.000000005742
0.170 0.033368752334 0.000000009978
0.180 0.037180144492 0.000000012387
0.190 0.040894676887 0.000000010255
0.200 0.044469484614 0.000000007051
0.210 0.047872462836 0.000000005501
0.220 0.051082573955 0.000000007074
0.230 0.054091044771 0.000000013159
0.240 0.056900244926 0.000000025239
0.250 0.059522476389 0.000000044514
0.260 0.061979816024 0.000000055519
0.270 0.064301866141 0.000000071517
0.280 0.066524287266 0.000000065793
0.290 0.068687162177 0.000000024936
0.300 0.070832711582 0.000000041210
0.310 0.073004553901 0.000000064710
0.320 0.075245529145 0.000000070236
0.330 0.077596509012 0.000000080994
0.340 0.080095222233 0.000000087034
0.350 0.082775486373 0.000000091183
0.360 0.085665945758 0.000000088525
0.370 0.088790802170 0.000000098662
0.380 0.092168783660 0.000000125896
0.390 0.095813439839 0.000000173768
0.400 0.099733398569 0.000000242270
0.410 0.103932878021 0.000000290400
0.420 0.108411673875 0.000000328513
0.430 0.113166758914 0.000000308239
0.440 0.118192315620 0.000000272528
0.450 0.123480509559 0.000000229845
0.460 0.129022225471 0.000000172873
0.470 0.134807892884 0.000000084625
0.480 0.140827343871 0.000000058627
0.490 0.147071575959 0.000000010513
0.500 0.153532303893 0.000000109961
0.510 0.160202524539 0.000000169520
0.520 0.167076391379 0.000000233802
0.530 0.174150093620 0.000000303246
0.540 0.181421250996 0.000000406165
0.550 0.188889069910 0.000000516471
0.560 0.196554085762 0.000000664572
0.570 0.204418153851 0.000000833561
0.580 0.212483434503 0.000001049527
0.590 0.220753057072 0.000001310450
0.600 0.229229953051 0.000001636033
0.610 0.237916617490 0.000002013904
0.620 0.246815124731 0.000002948871
0.630 0.255924532398 0.000003328876
0.640 0.265244183674 0.000004140397
0.650 0.274769671110 0.000004869798
0.660 0.284494543190 0.000005904805
0.670 0.294407854760 0.000006286436
0.680 0.304496571181 0.000006728425
0.690 0.314743473191 0.000007345062
0.700 0.325127178715 0.000007977710
0.710 0.335622006550 0.000008837144
0.720 0.346197880645 0.000009897620
0.730 0.356820126738 0.000010926654
0.740 0.367450147801 0.000011991630
0.750 0.378045346236 0.000012893796
0.760 0.388558806118 0.000013686151
0.770 0.398940840416 0.000014128896
0.780 0.409139724397 0.000014275755
0.790 0.419101623493 0.000014113480
0.800 0.428771820021 0.000013515476
0.810 0.438095835221 0.000012384617
0.820 0.447020178977 0.000010373207
0.830 0.455493933632 0.000007544483
0.840 0.463471611624 0.000003438881
0.850 0.470911239917 0.000001090888
0.860 0.477776830143 0.000005445587
0.870 0.484042391135 0.000010853610
0.880 0.489692049651 0.000019641722
0.890 0.494715693589 0.000030651265
0.900 0.499114297756 0.000042877457
0.910 0.502899552751 0.000056166554
0.920 0.506093202991 0.000070460301
0.930 0.508726581986 0.000085669950
0.940 0.510840425807 0.000100729424
0.950 0.512481081881 0.000116066764
0.960 0.513701404034 0.000130652804
0.970 0.514557287616 0.000143417861
0.980 0.515102439746 0.000156067249
0.990 0.515390483087 0.000168360672
1.000 0.515471026851 0.000179666792
